student_number,name,national_number,semester,year
ST1001,أحمد السيد,3123456789012,3,2
ST1002,محمد أحمد,3123456789234,5,3
ST1003,علي محمد,3123456789456,1,1
ST1001,حسن علي,3123456789678,7,4
ST1005,حسين حسن,3123456789000,2,1
ST1006,عبدالله عبدالرحمن,3123456790123,4,2
ST1007,يوسف الخالدي,3123456789000,6,3
ST1008,إبراهيم القحطاني,3123456790567,8,4
ST1001,عمر العمري,3123456790789,3,2
ST1010,خالد السعدي,3123456789000,1,1
ST1011,أحمد محمد,3123456791234,5,3
ST1001,محمد علي,3123456791456,2,1
ST1013,علي حسن,3123456791678,7,4
ST1014,حسن حسين,3123456791900,4,2
ST1001,حسين عبدالله,3123456792123,6,3
ST1016,عبدالله يوسف,3123456792345,8,4
ST1017,يوسف إبراهيم,3123456789000,1,1
ST1018,إبراهيم عمر,3123456792789,3,2
ST1019,عمر خالد,3123456793011,5,3
ST1020,خالد أحمد,3123456793234,7,4

