student_number,name,national_number,semester,year
ST1001,أحمد السيد,3123456789012,3,2
ST1002,محمد أحمد,3123456789234,5,3
ST1003,علي محمد,3123456789456,1,1
ST1004,حسن علي,3123456789678,7,4
ST1005,حسين حسن,3123456790000,2,1
ST1006,,3123456790123,4,2
ST1007,يوسف الخالدي,3123456790345,6,3
,إبراهيم القحطاني,3123456790567,8,4
ST1009,عمر العمري,3123456790789,10,5
ST1010,خالد السعدي,3123456791011,3,2
ST1011,أحمد محمد,3123456791234,1,1
ST1012,محمد علي,3123456791456,5,3
ST1013,,3123456791678,2,1
ST1014,حسن حسين,3123456791900,7,4
,حسين عبدالله,3123456792123,4,2
ST1016,عبدالله يوسف,3123456792345,10,5
ST1017,يوسف إبراهيم,3123456792567,6,3
ST1018,إبراهيم عمر,3123456792789,8,4
ST1019,,3123456793011,1,1
ST1020,خالد أحمد,3123456793234,3,2

